Counter,X-DATA,Y-DATA,Z-DATA
317,-4,-42,67
318,-5,-42,64
319,-4,-42,66
320,-4,-41,65
321,-4,-42,65
322,-5,-41,64
323,-4,-42,65
324,-5,-42,65
325,-5,-42,65
326,-4,-42,66
327,-4,-42,66
328,-4,-42,66
329,-5,-43,66
330,-5,-42,65
331,-4,-42,65
332,-4,-41,65
333,-5,-42,65
334,-4,-42,65
335,-4,-42,65
336,-4,-42,66
337,-5,-42,65
338,-4,-42,65
339,-4,-42,65
340,-5,-42,65
341,-4,-42,66
342,-4,-42,65
343,-4,-43,62
344,-4,-42,64
345,-4,-42,65
346,-4,-42,65
347,-4,-42,65
348,-4,-43,65
349,-4,-42,65
350,-5,-42,64
351,-4,-41,64
352,-4,-43,65
353,-4,-42,64
354,-4,-42,65
355,-4,-42,65
356,-4,-42,66
357,-4,-43,65
358,-4,-42,65
359,-4,-42,65
360,-4,-42,66
361,-4,-42,65
362,-4,-42,64
363,-5,-42,64
364,-4,-42,65
365,-4,-42,64
366,-5,-41,64
367,-4,-42,66
368,-4,-42,65
369,-4,-42,66
370,-4,-42,64
371,-4,-42,67
372,-4,-42,65
373,-5,-42,64
374,-4,-42,65
375,-5,-42,64
376,-5,-43,65
377,-4,-42,64
378,-4,-42,66
379,-5,-43,65
380,-4,-43,66
381,-5,-42,64
382,-4,-42,66
383,-4,-42,65
384,-5,-42,64
385,-4,-42,65
386,-4,-42,65
387,-5,-42,65
388,-4,-42,66
389,-4,-42,64
390,-5,-42,65
391,-4,-42,65
392,-5,-43,65
393,-4,-42,65
394,-5,-42,64
395,-4,-42,66
396,-4,-42,65
397,-4,-42,65
398,-5,-42,65
399,-5,-42,64
400,-4,-42,65
401,-4,-42,66
402,-4,-42,65
403,-4,-42,64
404,-4,-42,65
405,-4,-42,64
406,-4,-42,64
407,-4,-42,65
408,-4,-42,66
409,-4,-42,67
410,-4,-42,67
411,-4,-42,65
412,-5,-42,65
413,-4,-42,65
414,-4,-42,65
415,-5,-41,64
416,-5,-42,64
417,-4,-42,65
418,-4,-42,64
419,-4,-42,66
420,-5,-42,64
421,-4,-42,65
422,-4,-42,65
423,-5,-42,65
424,-4,-42,64
425,-5,-42,65
426,-4,-42,64
427,-4,-42,65
428,-5,-41,65
429,-5,-42,64
430,-4,-42,65
431,-4,-41,65
432,-4,-42,64
433,-5,-42,66
434,-4,-42,65
435,-4,-42,64
436,-4,-42,64
437,-5,-42,66
438,-5,-42,65
439,-4,-42,64
440,-5,-42,65
441,-4,-42,66
442,-5,-42,66
443,-4,-42,66
444,-5,-42,65
445,-4,-42,66
446,-4,-42,64
447,-4,-42,66
448,-4,-42,66
449,-4,-43,65
450,-5,-42,65
451,-5,-42,65
452,-4,-42,65
453,-4,-42,66
454,-5,-42,65
455,-4,-43,66
456,-4,-42,63
457,-5,-41,65
458,-4,-42,66
459,-4,-41,65
460,-4,-42,64
461,-5,-42,66
462,-4,-42,65
463,-4,-42,64
464,-4,-42,66
465,-5,-42,64
466,-4,-42,66
467,-5,-42,65
468,-4,-42,66
469,-5,-42,64
470,-4,-42,66
471,-4,-42,66
472,-5,-42,64
473,-5,-42,66
474,-5,-42,65
475,-5,-42,64
476,-4,-42,66
477,-4,-42,65
478,-4,-42,64
479,-4,-42,66
480,-4,-43,64
481,-4,-43,66
482,-4,-42,66
483,-4,-42,66
484,-5,-41,64
485,-5,-42,64
486,-4,-42,66
487,-5,-42,65
488,-4,-41,65
489,-5,-42,65
490,-5,-42,65
491,-4,-42,65
492,-4,-42,66
493,-4,-42,66
494,-4,-43,66
495,-5,-41,66
496,-4,-42,66
497,-4,-41,65
498,-4,-42,65
499,-4,-42,65
MAX,-4,-41,67
MIN,-5,-43,62
AVG,-4.334,-42.022,65.042
STD,0.47164,0.381466,0.815007
